county,long,lat
Abbeville,-82.4671762,34.2571918
Acadia,-62.17172245,30.24547345
Accomack,-37.8630392,37.79235288
Ada,-72.73433198,43.51501679
Adair,-52.48593326,38.43460104
Adams,-52.83597502,39.81045469
Addison,-29.08687767,44.04627311
Adjuntas,-48.55731,18.165273
Aguada,-48.78785,18.393103
Aguadilla,-48.66798875,18.47269775
Aguas Buenas,-47.878052,18.250398
Aibonito,-48.140625,18.128092
Aiken,-48.15194313,33.53910891
Aitkin,-46.83241563,46.5837925
Alachua,-52.68539947,29.6942525
Alamance,-43.34576623,36.05422077
Alameda,-83.20978458,37.21532438
Alamosa,-68.25833175,37.571542
Albany,-35.28332034,42.48407573
Albemarle,-40.55884288,38.01065141
Alcona,-38.860237,44.66625744
Alcorn,-53.65316775,34.8709365
Aleutians East,-106.304281,55.4586026
Aleutians West,-119.7227339,54.13161786
Alexander,-50.28104036,36.83177255
Alexandria City,-38.26608754,38.816728
Alfalfa,-61.66701013,36.644656
Alger,-40.3555813,46.3934516
Allamakee,-48.05817814,43.31516743
Allegan,-43.23747088,42.61292635
Allegany,-37.31171556,41.08066246
Alleghany,-43.6416625,36.97450325
Allegheny,-39.61472924,40.41843534
Allen,-46.93145308,39.60819138
Allendale,-48.2586182,33.004915
Alpena,-38.6179384,44.9961038
Alpine,-81.385469,38.673376
Amador,-82.25876292,38.45193377
Amelia,-40.68021167,37.336652
American Samoa,-177.981575,-7.209975
Amherst,-41.5597538,37.5434114
Amite,-59.596022,31.2226765
Anasco,-48.851011,18.288685
Anchorage,-88.48409647,61.161244
Anderson,-52.50952127,33.87017311
Andrew,-54.8346125,39.98018875
Andrews,-70.152878,32.370377
Androscoggin,-26.08157576,44.15035288
Angelina,-63.31662678,31.29556267
Anne Arundel,-37.6014594,38.99923777
Anoka,-48.04427792,45.22126358
Anson,-45.14549743,34.95471929
Antelope,-55.92582129,42.17746814
Antrim,-40.22077944,45.00950922
Apache,-74.30810186,35.16291183
Appanoose,-52.09606689,40.75207767
Appling,-50.54656167,31.735247
Appomattox,-41.481177,37.36367375
Aransas,-69.03504467,28.047496
Arapahoe,-64.91325671,39.68731718
Archer,-65.1377828,33.5904558
Archuleta,-69.9422462,37.1925532
Arecibo,-48.2256465,18.44502717
Arenac,-39.759004,44.0673155
Arkansas,-56.983323,34.317439
Arlington,-38.22502142,38.87505473
Armstrong,-40.39382594,40.448811
Aroostook,-21.85862319,46.63175628
Arroyo,-48.07387,17.96751
Arthur,-60.160422,41.554073
Ascension,-60.69713217,30.21158542
Ashe,-45.04964125,36.42354267
Ashland,-42.74203326,43.51132495
Ashley,-58.47044157,33.21785514
Ashtabula,-39.05074188,41.71629035
Asotin,-70.95253333,46.221801
Assumption,-61.100653,29.96644183
Atascosa,-69.5652667,28.9442521
Atchison,-55.43122127,39.92082891
Athens,-42.6670964,39.3518079
Atkinson,-51.55465367,31.33522567
Atlantic,-34.12555747,38.24162797
Atoka,-61.69989317,34.35143317
Attala,-56.5342252,33.0770148
Audrain,-52.51246775,39.20726738
Audubon,-53.243574,41.67984983
Auglaize,-43.62858727,40.55041173
Augusta,-40.96695348,38.14862843
Aurora,-54.87616,43.67777867
Austin,-66.45692089,29.86321189
Autauga,-54.112919,32.52478738
Avery,-45.84280356,36.077535
Avoyelles,-60.95062171,31.0601705
Baca,-65.1996755,37.34294033
Bacon,-50.884245,31.576952
Bailey,-68.87122575,33.93831375
Baker,-66.43908875,40.259573
Baldwin,-54.53190137,29.81497737
Ballard,-51.86119967,37.07140267
Baltimore,-37.18895119,39.42912381
Baltimore City,-37.31806351,39.29988481
Bamberg,-47.89101325,33.17777825
Bandera,-69.4066336,29.7185394
Banks,-49.137646,34.36541
Banner,-62.163604,41.546441
Bannock,-69.60098642,42.64670792
Baraga,-41.6823344,46.7340556
Barber,-61.38712275,37.23692138
Barbour,-46.19574883,36.06199042
Barceloneta,-48.097163,18.447092
Barnes,-51.20962692,46.88595725
Barnstable,-28.47938435,41.76179028
Barnwell,-48.058198,33.318709
Barranquitas,-48.106338,18.200898
Barren,-48.98537356,36.93827044
Barron,-46.434007,45.44538707
Barrow,-49.7265135,33.9825555
Barry,-50.6726523,39.36802625
Bartholomew,-46.6360006,39.1955822
Barton,-58.90059392,38.06187208
Bartow,-50.61392722,34.22591556
Bastrop,-67.2047825,30.110287
Bates,-56.1281023,38.2596367
Bath,-43.6699061,38.0866602
Baxter,-56.05686992,36.33069233
Bay,-49.69859934,35.31865997
Bayamon,-47.80794429,18.36117286
Bayfield,-44.50714809,46.636739
Baylor,-65.64355,33.620131
Beadle,-53.89700888,44.4221425
Bear Lake,-69.10697878,42.23473978
Beaufort,-45.99775815,33.41697422
Beauregard,-62.56063557,30.65565043
Beaver,-49.12717167,39.59072997
Beaverhead,-67.71601475,45.30460013
Becker,-48.77688592,46.92025838
Beckham,-64.4522485,35.26173417
Bedford,-41.41095045,38.60438534
Bedford City,-42.186558,37.336027
Bee,-69.34051322,28.41001478
Belknap,-26.45002111,41.21850774
Bell,-60.65075754,32.73213519
Belmont,-40.87952142,40.04741362
Beltrami,-47.00236029,47.86900857
Ben Hill,-51.486659,31.748753
Benewah,-69.53642717,47.18057733
Bennett,-58.50472133,43.186188
Bennington,-30.08231,43.01832559
Benson,-51.20390483,48.10509992
Bent,-65.0350545,37.9806615
Benton,-57.92048745,40.49823447
Benzie,-41.41734371,44.63093071
Bergen,-32.19252935,39.77648517
Berkeley,-43.70099538,35.52686375
Berks,-35.48990448,40.40560105
Berkshire,-30.88087171,42.33896553
Bernalillo,-71.53409488,35.07232271
Berrien,-45.5340365,40.53878777
Bertie,-40.89821888,36.1421375
